Date_YMD,AN_Confirmed,AN_Deceased,AN_Recovered,AP_Confirmed,AP_Deceased,AP_Recovered,AR_Confirmed,AR_Deceased,AR_Recovered,AS_Confirmed,AS_Deceased,AS_Recovered,BR_Confirmed,BR_Deceased,BR_Recovered,CH_Confirmed,CH_Deceased,CH_Recovered,CT_Confirmed,CT_Deceased,CT_Recovered,DL_Confirmed,DL_Deceased,DL_Recovered,DN_Confirmed,DN_Deceased,DN_Recovered,GA_Confirmed,GA_Deceased,GA_Recovered,GJ_Confirmed,GJ_Deceased,GJ_Recovered,HP_Confirmed,HP_Deceased,HP_Recovered,HR_Confirmed,HR_Deceased,HR_Recovered,JH_Confirmed,JH_Deceased,JH_Recovered,JK_Confirmed,JK_Deceased,JK_Recovered,KA_Confirmed,KA_Deceased,KA_Recovered,KL_Confirmed,KL_Deceased,KL_Recovered,LA_Confirmed,LA_Deceased,LA_Recovered,LD_Confirmed,LD_Deceased,LD_Recovered,MH_Confirmed,MH_Deceased,MH_Recovered,ML_Confirmed,ML_Deceased,ML_Recovered,MN_Confirmed,MN_Deceased,MN_Recovered,MP_Confirmed,MP_Deceased,MP_Recovered,MZ_Confirmed,MZ_Deceased,MZ_Recovered,NL_Confirmed,NL_Deceased,NL_Recovered,OR_Confirmed,OR_Deceased,OR_Recovered,PB_Confirmed,PB_Deceased,PB_Recovered,PY_Confirmed,PY_Deceased,PY_Recovered,RJ_Confirmed,RJ_Deceased,RJ_Recovered,SK_Confirmed,SK_Deceased,SK_Recovered,TG_Confirmed,TG_Deceased,TG_Recovered,TN_Confirmed,TN_Deceased,TN_Recovered,TR_Confirmed,TR_Deceased,TR_Recovered,TT_Confirmed,TT_Deceased,TT_Recovered,UP_Confirmed,UP_Deceased,UP_Recovered,UT_Confirmed,UT_Deceased,UT_Recovered,WB_Confirmed,WB_Deceased,WB_Recovered
16/08/2022,3,0,3,116,0,189,43,0,53,202,0,193,76,0,163,39,1,96,285,0,338,917,3,1566,0,0,1,102,0,174,425,1,663,446,2,255,636,1,1342,57,0,151,217,0,614,1121,5,1711,604,6,1153,18,1,7,0,0,0,836,2,1224,11,0,42,18,0,25,60,0,115,222,0,169,2,0,8,255,1,759,230,6,0,20,0,69,191,3,643,22,1,52,406,0,494,670,0,927,24,0,15,9062,36,15220,453,0,1054,160,2,321,175,1,631
16/08/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,1,3,1,0,0,0,0,0,9,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,2,4,0,0,33,2,45,0,1,1,0,0,0,8,0,9
16/09/2020,19,0,27,8835,64,10845,226,0,129,2394,19,2464,1531,12,1724,366,5,181,3189,23,1647,4473,33,3313,27,0,23,628,4,351,1364,12,1447,460,1,114,2694,19,1771,1635,8,1607,1590,18,747,9725,55,6580,3830,14,2263,36,2,19,0,0,0,23365,474,17559,158,0,74,110,1,103,2462,24,1922,12,0,7,34,0,41,4270,11,4121,2702,78,2756,510,13,401,1782,15,1479,48,0,32,2273,12,2260,5652,57,5768,454,10,510,97860,1140,82924,6229,86,6476,1540,9,1192,3237,61,2971
16/09/2021,3,0,1,1367,14,1248,47,0,56,468,4,479,12,0,6,4,0,2,31,0,29,28,1,22,0,0,0,95,0,96,22,0,23,127,3,206,9,0,17,6,0,14,170,0,98,1108,18,808,22182,178,26563,6,0,5,0,0,0,3595,45,3240,229,3,86,216,4,219,7,0,12,1402,3,1202,32,2,43,580,4,681,30,3,38,107,2,42,4,0,5,64,0,34,259,1,301,1693,25,1548,0,0,0,34653,318,37888,23,1,11,20,0,28,707,7,725
16/09/2022,1,0,0,45,0,48,5,0,7,66,0,81,58,0,95,21,0,18,91,0,116,123,0,117,0,0,0,79,0,92,147,0,169,31,1,75,80,1,106,12,0,30,23,0,43,426,4,492,2211,15,1512,4,0,4,0,0,0,697,2,984,9,0,9,2,0,4,31,0,39,43,0,31,0,0,2,214,1,267,33,0,62,104,0,46,195,2,214,10,0,11,111,0,128,463,1,436,0,0,1,5747,29,5618,103,1,142,34,0,44,275,1,193
16/10/2020,10,1,14,3967,25,5010,198,0,182,767,10,931,1062,9,1454,55,5,120,2472,40,2926,3428,22,3197,5,0,11,321,6,449,1191,11,1279,219,2,219,1227,11,1139,473,5,818,697,8,838,7542,73,8580,7283,24,6767,48,0,151,0,0,0,11447,306,13885,139,2,90,337,5,164,1352,25,1556,9,0,6,112,0,91,2138,15,2850,507,26,979,280,1,306,2010,15,2201,31,0,48,1554,7,1435,4389,60,5245,162,4,371,62304,840,70568,2552,46,3538,549,15,524,3771,61,3194
16/10/2021,0,0,0,332,7,585,16,0,29,269,5,290,0,0,2,2,0,4,14,0,30,21,0,22,0,0,0,52,3,87,22,0,21,103,2,164,12,0,14,8,0,15,82,0,122,264,6,421,7955,57,11769,5,0,1,0,0,1,1553,26,1682,83,2,97,88,2,108,4,0,14,932,5,1485,24,0,14,358,3,562,16,1,24,48,0,61,5,0,1,6,0,13,111,1,187,1233,15,1434,4,0,12,14078,146,19786,5,1,8,8,0,6,443,10,501
16/11/2020,21,0,16,753,13,1507,56,0,88,186,1,405,517,5,597,82,2,116,1110,26,1594,3797,99,3560,3,0,2,125,1,285,926,5,1040,443,8,540,2153,19,2349,166,4,360,390,8,482,1157,12,2188,2710,19,6567,97,4,71,0,0,0,2535,60,3001,41,1,78,178,3,239,597,2,745,3,1,26,140,1,46,749,16,1297,424,22,570,13,0,95,2169,12,1810,23,2,12,502,3,1539,1725,17,2384,17,2,77,28609,451,40392,1546,21,1889,243,9,441,3012,53,4376
16/11/2021,0,0,2,191,2,416,8,0,3,247,4,171,4,0,0,1,0,1,20,0,9,44,0,24,0,0,0,23,1,20,35,0,17,129,1,109,15,0,16,14,0,22,144,2,115,255,7,667,5516,210,6705,24,0,27,0,0,0,886,34,948,34,1,25,71,0,334,4,1,8,459,4,250,4,1,16,206,2,236,8,0,27,33,0,18,15,0,17,7,0,5,167,1,164,789,15,913,9,0,10,10197,301,12134,8,0,8,8,1,6,819,14,825
16/11/2022,0,0,0,1,0,8,0,0,0,3,0,11,1,0,20,0,0,0,6,0,8,19,1,33,0,0,1,11,0,10,25,0,37,2,0,7,5,0,14,1,0,8,3,0,0,60,0,165,153,9,258,1,0,1,0,0,0,156,1,191,0,0,0,1,0,2,6,0,4,6,0,4,0,0,1,7,0,0,6,0,6,0,0,2,42,0,45,1,0,0,22,0,33,65,0,97,1,0,1,635,11,1010,12,0,19,3,0,4,16,0,20
16/12/2020,8,0,10,478,3,715,21,0,14,97,3,90,565,3,466,67,0,75,1661,10,1820,1547,32,2734,1,0,4,91,3,104,1160,10,1384,484,12,1046,807,14,1452,190,3,180,332,5,415,1240,6,1403,6185,27,5728,21,0,110,0,0,0,-5914,95,3887,65,2,66,81,2,227,1079,8,1257,31,0,13,26,1,23,407,5,358,330,18,573,32,1,28,1247,10,2237,33,2,19,536,3,622,1181,12,1240,24,2,30,18172,356,33360,1199,15,1765,567,3,498,2293,46,2767
16/12/2021,2,0,2,148,3,152,1,0,0,180,4,151,5,1,8,14,0,12,32,0,26,85,0,38,2,0,0,36,3,32,68,0,43,54,1,81,28,0,21,19,0,14,133,5,139,303,2,322,3404,320,4145,21,0,17,2,0,0,877,19,632,11,1,10,17,0,16,18,0,17,203,1,221,3,1,6,173,1,166,39,2,27,24,1,10,26,0,19,6,0,22,190,2,195,627,12,687,5,0,7,7447,391,7886,11,0,7,20,0,9,660,12,632
16/12/2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,3,0,4,4,0,3,0,0,3,1,0,2,0,0,0,1,0,5,14,0,36,63,3,90,1,0,1,0,0,0,32,1,36,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-1223,0,0,0,0,5,14,0,9,0,0,0,4,0,16,8,0,8,0,0,0,167,4,246,4,0,4,0,0,8,9,0,4
17/01/2021,1,0,1,161,1,251,3,0,7,22,3,30,211,4,383,34,0,43,323,7,351,246,8,385,1,0,0,60,0,59,518,2,704,70,2,126,178,2,211,87,0,111,126,0,182,745,4,855,5005,21,4408,7,0,9,0,0,0,3081,50,2342,12,0,12,21,0,58,355,2,478,8,0,7,4,0,4,183,1,228,239,5,195,35,0,37,261,1,496,9,0,6,299,2,379,589,7,770,0,0,0,13962,145,14513,391,6,666,112,5,98,565,12,621
17/01/2022,49,0,66,4108,0,696,404,0,84,6982,11,2281,3526,5,5907,864,2,961,4574,10,5396,12527,24,18340,20,0,16,2174,6,1592,12753,5,5984,2446,6,1298,9204,12,5631,2499,6,4266,2827,5,777,27156,14,7827,22946,72,5280,152,0,128,39,0,2,31111,24,29092,174,0,95,235,0,60,6970,0,2106,1280,3,830,48,0,21,10489,3,5965,6593,21,4393,907,3,147,9236,5,5894,217,0,194,2447,3,2295,23443,20,13551,1385,4,492,238018,310,157421,15553,9,12402,3295,4,2318,9385,33,11034
17/01/2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,0,3,0,2,6,0,1,4,0,2,3,0,1,0,0,0,1,0,0,17,1,36,23,0,40,0,0,0,0,0,0,33,1,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,6,12,0,12,0,0,19,0,0,1,0,0,0,3,0,4,5,0,8,0,0,0,138,2,173,2,0,4,2,0,0,7,0,3
17/02/2021,1,0,1,51,2,57,0,0,0,21,1,13,38,1,82,29,1,19,311,5,202,134,0,75,2,0,0,46,2,39,278,1,273,34,0,50,82,1,74,45,0,39,84,0,56,378,3,537,4892,16,4832,3,0,3,10,0,6,4787,40,3853,1,0,23,10,0,2,251,1,243,1,0,1,0,0,5,75,0,88,341,10,179,18,2,27,101,1,108,0,0,1,148,1,150,454,6,462,2,0,0,12862,100,12028,57,3,226,44,1,53,133,2,249
17/02/2022,8,0,21,528,2,1864,41,1,100,47,4,419,125,0,225,35,2,93,421,2,1166,739,5,905,0,0,4,103,3,481,870,13,2221,260,3,584,738,8,1263,0,0,0,232,0,937,1579,23,5079,8655,319,22707,54,0,105,12,0,11,2797,40,6383,42,0,82,103,2,151,1328,6,2780,1119,0,1871,22,0,42,886,16,1465,269,7,689,68,0,113,1506,7,3510,11,0,46,453,0,1380,1252,6,4768,10,0,19,25920,492,66254,849,5,2318,291,3,1085,467,15,1367
17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0,3,0,0,3,1,0,2,6,0,4,0,0,0,1,0,1,27,0,22,29,0,35,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,4,5,0,0,7,0,2,1,0,0,0,0,1,4,0,5,8,0,7,0,0,0,117,0,112,1,0,2,2,0,0,5,0,2
17/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,1,2,0,1,0,0,0,1,0,0
17/03/2021,3,0,0,253,1,137,0,0,0,33,0,19,58,1,40,201,0,70,887,6,243,536,3,319,0,0,0,73,1,59,1122,3,775,167,0,52,555,4,295,82,0,60,126,1,90,1275,4,479,2098,13,2815,2,0,1,14,0,2,23179,84,9138,2,0,3,8,0,4,832,2,500,3,0,0,0,0,7,82,0,61,2013,35,1274,52,0,18,313,0,123,3,0,1,247,3,158,945,8,576,1,0,10,35838,171,17793,260,1,157,110,0,35,303,1,272
17/03/2022,0,0,0,54,0,57,0,0,1,3,0,1,10,0,12,4,0,8,20,0,54,148,1,157,0,0,0,13,0,12,24,0,53,35,0,59,72,3,119,7,0,25,12,0,19,140,2,162,922,130,1329,3,0,15,0,0,0,229,3,395,14,0,18,7,2,11,21,0,100,228,2,481,3,1,10,105,1,108,59,0,56,0,0,1,76,0,134,1,2,2,63,0,102,70,1,146,0,0,0,2528,149,3997,73,0,208,18,0,10,94,1,132
17/03/2023,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,48,0,7,0,0,0,19,0,8,121,0,35,0,0,0,13,0,5,1,1,1,2,0,2,127,0,130,133,2,91,1,0,0,0,0,0,197,1,93,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,4,0,2,18,0,2,11,0,9,23,0,1,1,0,0,25,0,38,56,0,36,0,0,0,843,4,476,17,0,1,7,0,5,4,0,2
