State,Lag_days,Correlation,p_value
Himachal Pradesh,0,0.07637395082914565,0.0044566487677488355
Himachal Pradesh,7,0.060630157717267014,0.02440416573477614
Himachal Pradesh,14,0.03292990428328913,0.2230285419820753
Himachal Pradesh,21,0.024788386111758303,0.36029921232641277
Himachal Pradesh,28,-0.017501666803264815,0.5194635682687101
India,0,0.026707981556978143,0.3205964351136194
India,7,0.018149087303418302,0.5008429719845178
India,14,0.02071960646318908,0.4433385607625106
India,21,-0.005057235435547607,0.8519698372530325
India,28,-0.028767146402948092,0.28962173532223146
Jammu and Kashmir,0,0.038070124776439486,0.1567649130348417
Jammu and Kashmir,7,0.04490981115513348,0.09562501685667239
Jammu and Kashmir,14,0.037580374683587436,0.16431301468706044
Jammu and Kashmir,21,0.025213485191736065,0.35211848890120656
Jammu and Kashmir,28,0.0005348793533671375,0.9842942963848493
Jharkhand,0,0.05700359054950772,0.0339023139673346
Jharkhand,7,0.06827119370161834,0.011245310159212762
Jharkhand,14,0.07340990779031659,0.006541228107916685
Jharkhand,21,0.06827274069084152,0.011665467361074943
Jharkhand,28,0.03016976504941103,0.2667376475045529
Karnataka,0,-0.015311318569491139,0.5691263715446438
Karnataka,7,0.0009479572301275265,0.9719540760085117
Karnataka,14,0.01521839768905443,0.5734277345144327
Karnataka,21,0.006714524020334804,0.8043210888166533
Karnataka,28,0.005206673999729312,0.8480357226176092
Kerala,0,0.05952916608592642,0.02673416800250965
Kerala,7,0.04703161492960163,0.08093929539409499
Kerala,14,0.042444483269100594,0.11621353875414642
Kerala,21,0.005550351169362628,0.8377273951865186
Kerala,28,-0.010431451005635504,0.7010342559683906
Ladakh,0,-0.11336747094290253,2.348707360968151e-05
Ladakh,7,-0.0019806801335446704,0.941440859555949
Ladakh,14,-0.016239569576709023,0.5479772183019446
Ladakh,21,-0.04399363899252561,0.10435743803419319
Ladakh,28,0.0641018988543214,0.01819599627345247
Lakshadweep,0,-0.07830524485794589,0.0035452451362093873
Lakshadweep,7,0.04350281413424713,0.10648729985311636
Lakshadweep,14,-0.020011513895950413,0.45907858129735274
Lakshadweep,21,-0.04570167808669387,0.09156385541286974
Lakshadweep,28,0.019186871815568062,0.4800577454851156
Madhya Pradesh,0,0.04453324568178589,0.0975889582508001
Madhya Pradesh,7,0.06033334346605024,0.025112516403923067
Madhya Pradesh,14,0.03477433757205823,0.19816235806684876
Madhya Pradesh,21,0.021939939514672782,0.4181421984681422
Madhya Pradesh,28,-0.003094157826356854,0.909335921060126
Maharashtra,0,0.035478324801538126,0.1869786256807169
Maharashtra,7,-0.020150424063367905,0.45481642968421016
Maharashtra,14,-0.038157930232649184,0.15792055344974018
Maharashtra,21,-0.06996640312274223,0.009742866936844556
Maharashtra,28,-0.08350263059319107,0.0020799690900491787
Manipur,0,0.09730170806579572,0.00028731258329827764
Manipur,7,-0.037144272458263385,0.168180909349384
