State,Window,Lag_days,Correlation
Gujarat,14,14,0.04112351752894625
Gujarat,14,21,0.02608017855592592
Gujarat,14,28,-0.000864469856337122
Haryana,14,0,0.055337706796710524
Haryana,14,7,0.0746006683888407
Haryana,14,14,0.0881426669948804
Haryana,14,21,0.08146322824118779
Haryana,14,28,0.051310776705672835
Himachal Pradesh,14,0,0.09344360875844594
Himachal Pradesh,14,7,0.08114386452613773
Himachal Pradesh,14,14,0.053083910490164796
Himachal Pradesh,14,21,0.021871545184507485
Himachal Pradesh,14,28,-0.03607885687480372
India,14,0,0.019496413225209456
India,14,7,0.02316798477580815
India,14,14,0.014948828855954117
India,14,21,-0.004429043614694993
India,14,28,-0.03367477889156894
Jammu and Kashmir,14,0,0.043482624203077656
Jammu and Kashmir,14,7,0.05571605999887551
Jammu and Kashmir,14,14,0.04851193100282431
Jammu and Kashmir,14,21,0.030438757897598683
Jammu and Kashmir,14,28,0.004839063671567665
Jharkhand,14,0,0.061482820877653686
Jharkhand,14,7,0.0808905074453453
Jharkhand,14,14,0.08562444921102758
Jharkhand,14,21,0.0723525311410805
Jharkhand,14,28,0.039570145740555444
Karnataka,14,0,-0.02813994880875931
Karnataka,14,7,0.0005468143335675708
Karnataka,14,14,0.011819428815951808
Karnataka,14,21,0.009984508562863056
Karnataka,14,28,0.0012386012917347826
Kerala,14,0,0.06136959448503934
Kerala,14,7,0.063834465624114
Kerala,14,14,0.04449022789799862
Kerala,14,21,0.015030736547302307
Kerala,14,28,-0.007635440610250938
Ladakh,14,0,-0.09657171575093658
Ladakh,14,7,-0.059716549643298075
Ladakh,14,14,-0.035825100363077664
Ladakh,14,21,-0.019111219024923222
Ladakh,14,28,0.030365829415877253
Lakshadweep,14,0,-0.10564679330715576
Lakshadweep,14,7,-0.004527453054771045
Lakshadweep,14,14,-0.016999630631738736
Lakshadweep,14,21,-0.03785388303029856
Lakshadweep,14,28,0.0023719495379229748
Madhya Pradesh,14,0,0.03643411771027612
Madhya Pradesh,14,7,0.05941077402359303
Madhya Pradesh,14,14,0.04509131571832907
